Ponnayo danne kellek aduwa gaman laga inna kollekta Allan gahanna witharai.,1
Ape harak samjeta eka honda adrshyak,0
Tpita pisuda yako man htuwe atta kiyala aiyo,0
Kimbak eduwoth ape untath amma thaththawath penne ne,1
Lisan nathawa yanna puluwan yako ...api dannawa oka veede nattiyak kiyala,0
Samanya minasata danena de me kalakanni desapalakayanta penne nathi eka thama karume..,1
muladi hinawey... digatama karoth devole karala hoda idea ekak,0
Hadannanam puluvan eth oka reddak adan dagena yanne kohomai ape handuruvane,0
Police yen navatthana ekkak na,0
Mathakane kalayak ape un fite fan ellan gihin rexona market kala,0
Pahadili madi visthara karapu hati.,0
Me mokkakda bn eka dapuwahama mahasona wagene,0
ela ela thawa thawath mede wadidinu karanna,0
Game gahapan aiya api gannaw,0
Lankawen desapalakayo tikak yawala balamu.poster gahana widihata thama ita passe,0
Oshadhi adui. Hama gahapu issek wage,1
Oka light bala bala cheeneta naya gewamu.,0
Mewa thiyana widiyata keedawasak thiyaganna puluwan weida ape moda noogathun ekka.,0
Owa ta army eken dala arawage pissu natana unge kana paluwa nam nikan ma hadeyi,1
Badulla Jaffna Kandy yana train me wage. Api dawasawala hondai. Dan kohomada,0
gothrika ratakata me wage dewal dunnata reka ganne ne kiyala sure,0
Ape rilawu tika okatath wade deyi,0
balamu mekawath hariyata thiya ganida kiyala....badulle train eke toilat eken eleyata patta chu gadai.,0
Meke comment dakkahama terena akama de..tamat desapaluwanta kade yana..wahallu bara gaaanak ennawa kiyana ekai,0
Mun naluwo da nattam rastiyadu kara chandi da...oka award 1k ganna welawak nathuwa picatin karana welawak newei.,0
Manussakamai deshapalanayai wenas puthiii... a deka aduraganna beri munta kawda yako sammana dennee,0
Deshapalanaya wenai sabawaka kuhaka kam kirieema anumatha karanna ba kalawa kiyanne sundarathwaya misak kuhaka kama neme ...,0
MAHINDATA GIYASERETH KELAWUNE MAHINDAGE GOLAYO NISAA THAMAYY...,0
Aiyooo mahinda attatama lajjai.. Oba tumawa nati kala golayo tika...,0
Munta pissu mun me nati nasthi karanne ape salli monatada api munta meva karanna bale.denneeeee,0
Me serama hadanne me ratata adareta newei balayata mudalata pagawal ganna..rate keli wikunanna.rata winasa karanna...ratak nethi karanna.hadanne,0
Ammapa shik oka karannna ekek nane me rate uwa diwiyaloke gihin niwanuth daki appa e karana kusalayata samana karanna kusalayak thawa nathiwai me loke,0
sha...niyama wadak..kalanm hari ape kattiyatath,0
And kohoma hari karanawanam onna niyama wadak.,0
heart attack hadila mareii,0
Sira kathawa ban eka nam,0
Ara miniha oxygen nethuwa merenne,0
Policiye un hithan inne LTTE karayek ahu una kiyala,0
Podikale hora polis den trend ekata ewilla wage,0
4 simawata giya eka hatharak reka genimata noheki unaa,0
Ara Police lokkath rugby gahapu ekek mama hithanne,0
patta Try eka. SI kenekds koheda kohoma hari Tackle kara,0
Suddage athe ruger ball ekak thibbanam maru..,0
Munta puluwanne bila yana ahinsaka minihak alla ganda tama?,0
Galu policeyama awwilla yako.,0
Ithin hodaine karapu de.kage unath prathipaththi weradinam me tika thama wenna one.,0
Meeta pasu lankawe chandayak awashshma natha. Mewage vihilu mona ratakawath nathuwa athi.,0
Lokaya dunu wena kale meyala apassata yanna hadanne.. Seegiri situwam ugayata nawata yannna epa. Pls,0
munta eka miniyek madi ekai,1
Europe wala inna suddiyo best munta wada..,0
. wadagath deyak dala ratata wadak athi deyak karala salli hoyanawa..,0
monawada oii mewa...thamuselath views ganna ona jarawak danawa.,1
Un denatawath nathi prashnane meke comment karanna apu unta thiyenne,0
hasini gei filt gei song ekak yako meee...hammeeee marketing ting ting....,0
"meka yakooo..marai bn umbe hakiyawa,hiniyta dena kindi thama pattama",0
Me song eke sansara sihinaya tittle ekath dapu eke ma nubhe kumara kiyala demmanam hodai mokada ekane wediyenma kiyanne,0
Sobitha hamuduruwo hitiye nathi eka num loku deyak.. un wahanse me de dakke nathi eka hodai eka athakin,0
kohomath Islam kiyanne ithin tharsthawadi agamak ne ithin.. thopila wa pana pitin tiye wala dala gihi thyna a one,1
thopila hedigewila yanna one..kalakanni hamba heththa,1
